instance_id,db_id,query,question,query_toks,query_toks_no_value,question_toks,modified question,generated_query
0,concert_singer,SELECT count(*) FROM singer,How many singers do we have?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['How', 'many', 'singers', 'do', 'we', 'have', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many singers do we have? <query> ",<strong>SELECT count(*) FROM Singer</strong>
1,concert_singer,SELECT count(*) FROM singer,What is the total number of singers?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['What', 'is', 'the', 'total', 'number', 'of', 'singers', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the total number of singers? <query> ",<strong>SELECT count(*) FROM Singer</strong>
2,concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","Show name, country, age for all singers ordered by age from the oldest to the youngest.","['SELECT', 'name', ',', 'country', ',', 'age', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'DESC']","['select', 'name', ',', 'country', ',', 'age', 'from', 'singer', 'order', 'by', 'age', 'desc']","['Show', 'name', ',', 'country', ',', 'age', 'for', 'all', 'singers', 'ordered', 'by', 'age', 'from', 'the', 'oldest', 'to', 'the', 'youngest', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show name, country, age for all singers ordered by age from the oldest to the youngest. <query> "," <strong>SELECT name ,  country ,  age FROM singer ORDER BY age DESC</strong>"
3,concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","What are the names, countries, and ages for every singer in descending order of age?","['SELECT', 'name', ',', 'country', ',', 'age', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'DESC']","['select', 'name', ',', 'country', ',', 'age', 'from', 'singer', 'order', 'by', 'age', 'desc']","['What', 'are', 'the', 'names', ',', 'countries', ',', 'and', 'ages', 'for', 'every', 'singer', 'in', 'descending', 'order', 'of', 'age', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names, countries, and ages for every singer in descending order of age? <query> "," <strong>SELECT name ,  country ,  age FROM singer ORDER BY age DESC</strong>"
4,concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age of all singers from France?","['SELECT', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'FROM', 'singer', 'WHERE', 'country', '=', ""'France"", ""'""]","['select', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'from', 'singer', 'where', 'country', '=', 'value']","['What', 'is', 'the', 'average', ',', 'minimum', ',', 'and', 'maximum', 'age', 'of', 'all', 'singers', 'from', 'France', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the average, minimum, and maximum age of all singers from France? <query> "," <strong>SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  ""France""</strong>"
5,concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age for all French singers?","['SELECT', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'FROM', 'singer', 'WHERE', 'country', '=', ""'France"", ""'""]","['select', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'from', 'singer', 'where', 'country', '=', 'value']","['What', 'is', 'the', 'average', ',', 'minimum', ',', 'and', 'maximum', 'age', 'for', 'all', 'French', 'singers', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the average, minimum, and maximum age for all French singers? <query> "," <strong>SELECT avg(age) ,  min(age) ,  max(age) FROM Singer WHERE nationality  =  ""French""</strong>"
6,concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",Show the name and the release year of the song by the youngest singer.,"['SELECT', 'song_name', ',', 'song_release_year', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'LIMIT', '1']","['select', 'song_name', ',', 'song_release_year', 'from', 'singer', 'order', 'by', 'age', 'limit', 'value']","['Show', 'the', 'name', 'and', 'the', 'release', 'year', 'of', 'the', 'song', 'by', 'the', 'youngest', 'singer', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the name and the release year of the song by the youngest singer. <query> "," <strong>SELECT T1.name ,  T1.release_year FROM singer AS T1 JOIN song AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T1.name ORDER BY T1.age LIMIT 1</strong>"
7,concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",What are the names and release years for all the songs of the youngest singer?,"['SELECT', 'song_name', ',', 'song_release_year', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'LIMIT', '1']","['select', 'song_name', ',', 'song_release_year', 'from', 'singer', 'order', 'by', 'age', 'limit', 'value']","['What', 'are', 'the', 'names', 'and', 'release', 'years', 'for', 'all', 'the', 'songs', 'of', 'the', 'youngest', 'singer', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names and release years for all the songs of the youngest singer? <query> "," <strong>SELECT T1.name ,  T1.release_year FROM singer AS T1 JOIN song AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T1.name ORDER BY T1.age LIMIT 1</strong>"
8,concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,What are all distinct countries where singers above age 20 are from?,"['SELECT', 'DISTINCT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '20']","['select', 'distinct', 'country', 'from', 'singer', 'where', 'age', '>', 'value']","['What', 'are', 'all', 'distinct', 'countries', 'where', 'singers', 'above', 'age', '20', 'are', 'from', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are all distinct countries where singers above age 20 are from? <query> ",<strong>SELECT DISTINCT Country FROM Singer WHERE Age > 20</strong>
9,concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,What are  the different countries with singers above age 20?,"['SELECT', 'DISTINCT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '20']","['select', 'distinct', 'country', 'from', 'singer', 'where', 'age', '>', 'value']","['What', 'are', 'the', 'different', 'countries', 'with', 'singers', 'above', 'age', '20', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are  the different countries with singers above age 20? <query> ",<strong>SELECT DISTINCT country FROM Singer WHERE age  >  20</strong>
10,concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",Show all countries and the number of singers in each country.,"['SELECT', 'country', ',', 'count', '(', '*', ')', 'FROM', 'singer', 'GROUP', 'BY', 'country']","['select', 'country', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'country']","['Show', 'all', 'countries', 'and', 'the', 'number', 'of', 'singers', 'in', 'each', 'country', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show all countries and the number of singers in each country. <query> "," <strong>SELECT Country ,  count(*) FROM Singer GROUP BY Country</strong>"
11,concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",How many singers are from each country?,"['SELECT', 'country', ',', 'count', '(', '*', ')', 'FROM', 'singer', 'GROUP', 'BY', 'country']","['select', 'country', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'country']","['How', 'many', 'singers', 'are', 'from', 'each', 'country', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many singers are from each country? <query> "," <strong>SELECT Country ,  count(*) FROM Singer GROUP BY Country</strong>"
12,concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),List all song names by singers above the average age.,"['SELECT', 'song_name', 'FROM', 'singer', 'WHERE', 'age', '>', '(', 'SELECT', 'avg', '(', 'age', ')', 'FROM', 'singer', ')']","['select', 'song_name', 'from', 'singer', 'where', 'age', '>', '(', 'select', 'avg', '(', 'age', ')', 'from', 'singer', ')']","['List', 'all', 'song', 'names', 'by', 'singers', 'above', 'the', 'average', 'age', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List all song names by singers above the average age. <query> ",<strong>SELECT Song_Name FROM Singer WHERE Age  >  (SELECT avg(Age) FROM Singer)</strong>
